,price,bedrooms,sqft_living,grade
384,1350000,5,4800,11
385,799000,4,2510,8
386,365500,3,1410,7
387,252350,3,1650,7
388,403950,4,2120,8
389,385000,4,2040,7
390,345000,4,1550,7
391,490000,3,1980,9
392,330000,3,1600,8
393,927000,4,3300,8
394,1118000,4,3840,10
395,330000,2,1220,7
396,530000,5,2720,7
397,365000,4,1940,8
398,378750,3,2160,7
399,269900,4,1530,7
400,557000,3,1710,8
401,360000,4,3730,7
402,352000,2,940,7
403,437000,3,1750,8
404,322500,4,1820,7
405,650000,3,1510,9
406,450000,3,1290,8
407,278500,3,1570,7
408,364950,4,1930,8
409,840000,4,2840,10
410,268000,3,1550,7
411,517534,2,833,5
412,632925,3,2990,8
413,577500,3,2000,9
414,339000,4,2390,7
415,570000,3,2910,7
416,563500,4,2085,7
417,423000,4,2200,7
418,355000,3,1860,8
419,1550000,5,6070,12
420,482000,2,950,7
421,625000,3,1600,7
422,538000,3,2250,8
423,380000,3,2280,8
424,375000,2,940,7
425,245000,3,1530,7
426,310000,5,2190,7
427,1300000,3,2350,8
428,397000,4,1440,7
429,365000,3,2200,8
430,328500,4,2290,9
431,988000,4,4040,11
432,1000000,4,2610,8
433,237000,3,1490,7
434,525000,4,2450,8
435,749000,4,1710,9
436,722500,5,4870,10
437,843000,3,3130,10
438,438000,2,1270,8
439,578000,3,2120,8
440,227950,3,1670,7
441,196000,3,2070,7
442,641000,2,1420,8
443,350000,3,1250,6
444,205000,3,940,7
445,400000,3,1920,7
446,1030000,3,3545,10
447,505000,3,1260,7
448,475000,5,2340,7
449,520000,3,2590,8
450,1450000,3,3970,10
451,333500,3,1220,7
452,232000,3,1400,6
453,691100,3,2360,8
454,811000,3,1870,8
455,551000,3,2830,9
456,496500,3,2260,8
457,705000,3,1970,9
458,578000,4,3140,9
459,255000,3,1240,7
460,1050000,4,3450,10
461,348000,3,2570,8
462,230000,3,1510,7
463,359500,4,2390,9
464,330000,3,980,6
465,80000,1,430,4
466,465000,3,1480,7
467,325000,4,1850,8
468,340500,3,2270,7
469,342500,3,1810,8
470,290900,2,1610,6
471,868700,3,3840,10
472,1199000,4,4110,9
473,1150000,4,4190,11
474,859900,4,3390,9
475,520000,4,1890,7
476,460000,3,1610,9
477,438924,3,1050,7
478,315000,2,630,5
479,590000,4,2910,8
480,378500,4,1700,7
481,328500,3,1950,9
482,849950,3,2990,8
483,525000,3,1350,7
484,1385000,4,4860,9
485,295000,4,2160,8
486,1067000,6,4860,11
487,207950,2,890,6
488,699900,4,2810,9
489,1280000,5,3400,8
490,452000,4,1580,7
491,370000,3,1680,7
492,232000,3,1300,7
493,669950,5,2820,7
494,397500,3,1510,7
495,490000,2,1230,8
496,725000,4,2110,9
497,299000,3,3080,7
498,625000,2,1490,7
499,437500,3,2120,7
500,650000,4,3180,9
501,475000,2,1490,7
502,342000,3,1930,8
503,1197350,4,2770,10
504,280000,3,1670,7
505,240000,2,1330,7
506,529000,3,1210,7
507,442000,3,1190,7
508,615000,2,1540,7
509,1485000,4,4030,10
510,585000,4,2430,8
511,480000,4,2600,8
512,1095000,5,4410,9
513,290000,4,1330,7
514,615000,3,1900,7
515,300000,2,1100,7
516,308000,3,1980,6
517,750000,3,2400,9
518,2250000,4,4760,9
519,890000,4,3180,10
520,288000,3,1190,6
521,190000,2,630,6
522,515000,5,2530,8
523,235000,4,1690,5
524,275000,2,940,6
525,727500,2,1240,7
526,650000,4,3040,7
527,1600000,6,6050,11
528,365000,4,1590,6
529,662000,3,2500,9
530,270500,3,1780,7
531,200000,2,1360,7
532,970000,4,4740,10
533,160000,3,1010,7
534,204000,3,1040,6
535,358000,3,1610,7
536,452000,4,1570,7
537,595000,2,1510,7
538,249000,3,1360,7
539,346900,4,1970,8
540,2125000,3,5403,12
541,280000,4,1560,7
542,318888,4,2320,8
543,530000,3,2120,8
544,375000,3,2120,8
545,910000,4,3350,11
546,782000,4,2380,10
547,259950,2,1070,9
548,315000,4,2300,7
549,215000,2,1320,6
550,705000,3,2180,7
551,1450000,3,4380,10
552,451000,3,1790,7
553,261000,2,750,6
554,396000,3,1300,7
555,725000,4,2990,9
556,1950000,7,4640,11
557,238000,4,1400,7
558,750000,6,2750,8
559,331500,4,2050,7
560,460000,4,2230,7
561,404950,4,2340,8
562,880000,3,2870,9
563,863000,4,4120,10
564,638700,3,2080,7
565,435000,3,1840,7
566,260000,3,1180,6
567,671500,5,2160,7
568,610000,3,1180,8
569,405000,2,1160,6
570,338900,4,1830,7
571,720000,4,3200,10
572,442000,5,2560,7
573,650000,5,2550,8
574,263500,3,1330,7
575,300000,2,1220,7
576,266000,3,1805,7
577,930000,4,6050,9
578,530000,4,2320,8
579,180000,3,1384,6
580,619000,3,2720,9
581,264000,3,1820,7
582,730000,2,2130,7
583,439000,4,2060,7
584,268500,4,1420,7
585,330000,3,1510,7
586,640000,3,2160,8
587,900000,3,3180,11
588,370000,3,2110,8
589,685000,3,2060,8
590,505000,3,1830,7
591,265000,3,1820,7
592,290000,3,1610,8
593,296000,4,1780,7
594,360000,4,1840,7
595,240500,3,1460,7
596,372500,2,1400,8
597,595000,3,3370,9
598,515000,4,3590,9
599,1220000,4,3200,9
600,507000,2,1670,8
601,399950,4,2420,9
602,185000,3,1430,7
603,460000,3,1440,7
604,435500,3,1450,7
605,469000,4,3550,8
606,531000,2,1270,8
607,443500,2,940,7
608,223000,3,1670,7
609,590000,4,3100,8
610,340000,2,1100,7
611,650000,3,1870,8
612,533600,3,1930,8
613,695000,3,2540,9
614,242000,3,1280,7
615,425000,3,1820,7
616,525000,3,1490,7
617,485000,3,1880,8
618,175000,3,1250,7
619,210000,3,1440,8
620,260000,3,1920,7
621,577000,3,2060,7
622,200000,3,1210,7
623,605000,2,1760,7
624,325000,3,990,6
625,289500,3,960,6
626,559950,3,1660,9
627,1042500,3,1900,8
628,543500,3,1270,7
629,480000,4,3250,9
630,218000,3,960,6
631,565000,2,1330,7
632,426700,3,2080,7
633,650000,3,2690,8
634,542000,2,890,7
635,415000,3,1070,7
636,214000,3,1200,6
637,245000,3,1360,7
638,314500,3,2050,8
639,1120000,3,3000,9
640,378000,2,1300,7
641,305000,4,2250,7
642,595000,5,3740,8
643,729500,3,1660,9
644,430000,3,2360,7
645,240000,3,1760,7
646,545000,3,1680,7
647,530000,3,1320,7
648,157000,1,870,6
649,425000,4,1260,6
650,220000,3,1000,6
651,521000,4,2020,8
652,325000,3,1920,7
653,597500,3,2150,7
654,337000,3,1470,7
655,1000000,3,3180,10
656,3070000,3,3930,8
657,495000,3,990,6
658,748000,4,2770,8
659,888000,3,1250,7
660,269900,3,1140,7
661,496500,4,2250,7
662,475000,3,1640,7
663,312000,3,1255,7
664,323000,3,1290,7
665,331000,3,1300,7
666,306000,3,1220,8
667,655000,4,2630,8
668,290000,3,1950,8
669,1250000,4,3160,9
670,460000,3,1550,7
671,435000,4,1700,7
672,664000,4,2510,8
673,865000,4,1800,8
674,385000,3,1800,8
675,497000,3,1870,7
676,280000,2,1010,7
677,188000,2,1120,6
678,478500,3,2090,8
679,1145000,4,4370,11
680,222000,3,1440,7
681,799000,4,2580,8
682,609900,4,3190,10
683,413000,4,2380,7
684,400000,4,1420,7
685,802541,5,2990,9
686,320000,3,2680,8
687,507000,4,2730,7
688,387500,3,1220,6
689,396000,3,1500,7
690,373000,3,1830,8
691,1484900,5,4570,10
692,359900,4,2470,8
693,410000,2,800,6
694,690000,4,2900,9
695,245000,3,1410,7
696,700000,5,2830,8
697,268000,4,1680,7
698,225000,3,1760,7
699,980000,4,2240,8
700,795000,2,1380,5
701,195000,2,820,6
702,480000,4,2180,6
703,485000,4,1400,7
704,130000,2,880,5
705,325000,2,1060,6
706,440000,3,1530,7
707,550000,4,2480,8
708,310000,3,1490,6
709,530000,3,3660,9
710,390000,4,2340,8
711,243000,3,1450,7
712,639000,4,2210,9
713,215000,4,1130,7
714,405000,5,1550,7
715,250000,4,1710,7
716,405500,3,1010,7
717,452000,6,2660,7
718,730000,6,2660,7
719,267000,3,1300,7
720,289950,3,1670,7
721,565000,2,960,7
722,1578000,4,4670,12
723,636000,3,2140,8
724,350000,5,2520,8
725,320000,3,1650,7
726,210000,2,1440,8
727,245000,2,1050,7
728,328000,3,1470,7
729,985000,4,4230,11
730,501000,3,1970,8
731,315000,3,1540,7
732,403000,3,2090,8
733,550000,3,2380,8
734,347500,4,2156,9
735,365000,4,2070,8
736,588000,3,1910,8
737,605000,3,1920,8
738,1300000,3,3400,9
739,233000,3,1400,7
740,360000,4,2210,8
741,459000,2,1170,6
742,740000,3,2100,9
743,305000,3,1160,7
744,395000,3,1500,6
745,560000,4,2940,8
746,650000,4,2010,7
747,449950,3,2170,7
748,517500,3,1430,7
749,435000,4,1510,7
750,329999,3,1150,6
751,950000,3,2150,8
752,447000,3,1370,7
753,699800,2,2380,8
754,850000,3,1370,7
755,316500,3,1600,7
756,942500,5,3750,9
757,1310000,2,3950,10
758,856600,4,2400,9
759,405600,5,2830,8
760,565000,4,2440,8
761,400000,3,1190,8
762,330000,3,1400,7
763,374950,4,2730,7
764,405300,3,2390,7
765,560000,3,2060,8
766,824000,4,2490,8
767,260000,3,1100,7
768,760000,4,2430,8
769,405000,3,3170,10
770,429900,4,2640,8
771,341500,3,1130,7
772,465250,5,1940,7
773,450000,2,1100,7
774,390000,3,1200,7
775,420000,3,2000,8
776,269950,3,1890,8
777,493000,4,1910,7
778,370000,4,2710,9
779,2250000,5,4860,10
780,305000,3,1250,7
781,400000,3,1590,6
782,320000,3,1240,8
783,715000,4,2000,7
784,650000,6,3610,8
785,218000,5,1930,8
786,500000,2,1280,7
787,460000,4,2090,7
788,232500,3,1940,7
789,408200,3,1800,7
790,522000,3,1730,7
791,675000,4,2810,9
792,1355000,4,3550,11
793,249950,4,1330,6
794,210000,2,750,6
795,429950,4,1760,7
796,737500,4,3200,9
797,710000,4,1740,8
798,470000,3,2100,8
799,1100000,4,4270,12
800,650000,3,1340,7
801,1216000,4,3190,9
802,422120,3,1630,8
803,625000,5,2990,9
804,385200,4,1550,6
805,500000,3,1690,8
806,308000,4,1960,8
807,565000,3,2390,8
808,581000,3,2600,7
809,361000,3,1950,8
810,345000,3,1250,7
811,419000,2,1180,8
812,347000,3,1680,7
813,625000,4,2220,9
814,2400000,4,4890,11
815,379000,3,2660,8
816,310000,3,1150,7
817,250000,2,1130,6
818,682000,5,2760,9
819,246500,3,1430,7
820,325000,3,1490,5
821,310950,4,2030,8
822,1100000,3,3010,9
823,287500,3,1810,7
824,431000,3,1810,7
825,226000,3,970,6
826,825000,3,2010,7
827,175000,4,1300,6
828,465750,3,1260,7
829,659000,4,2610,8
830,595000,3,1910,8
831,350000,3,1780,8
832,270000,4,1900,8
833,662500,6,2450,7
834,249900,3,1380,5
835,324500,3,1920,7
836,430000,2,1350,8
837,419950,2,1350,8
838,285000,4,2510,8
839,332000,4,2470,8
840,282000,4,1660,7
841,320000,3,1340,7
842,428750,3,1620,7
843,330000,3,2300,8
844,456500,4,2000,8
845,352000,3,1640,8
846,664000,4,1530,7
847,628000,3,4000,9
848,512000,3,1610,7
849,254000,3,2070,7
850,535800,4,1900,8
851,287653,3,1050,7
852,438000,3,1520,8
853,450000,4,2390,7
854,327000,5,2400,8
855,370500,4,1790,7
856,265000,3,1720,7
857,450000,4,2980,8
858,425000,3,1520,8
859,166600,3,1150,7
860,245000,1,380,5
861,565000,3,910,7
862,539900,3,1650,8
863,910000,3,2480,10
864,280000,4,2050,8
865,275000,3,1420,7
866,467000,3,3460,7
867,457500,3,1500,8
868,381156,2,1320,7
869,289999,5,2180,8
870,642450,3,1830,7
871,469950,3,1620,7
872,795000,3,2920,8
873,785000,4,3300,10
874,860000,3,3060,10
875,1095000,0,3064,7
876,147500,3,1530,7
877,390000,3,1910,7
878,229000,3,1020,7
879,185000,3,1150,6
880,414900,3,1260,7
881,200000,4,1920,6
882,225000,4,1800,8
883,720000,3,2040,7
884,930000,4,2200,8
885,1270000,5,3200,7
886,700000,5,2400,7
887,466000,2,1140,7
888,374000,3,1330,7
889,480000,3,1940,8
890,740000,3,3000,9
891,1010000,4,1820,8
892,395000,4,2910,8
893,340000,2,1090,6
894,209000,3,1230,7
895,431650,5,1710,7
896,980000,5,3160,9
897,660000,3,2680,9
898,730000,4,2190,8
899,291500,3,1260,7
900,905000,4,2970,9
901,800000,4,2570,10
902,839900,4,3810,9
903,200000,1,1010,8
904,300000,3,1480,7
905,530000,3,1250,7
906,314950,3,1654,7
907,255000,3,1410,7
908,550000,5,2160,7
909,435000,3,1400,6
910,234000,3,1420,7
911,615000,4,2500,8
912,205000,3,1410,7
913,384000,4,2100,7
914,324000,3,1750,8
915,645000,3,2070,7
916,570000,3,1570,8
917,324000,3,1920,8
918,270000,2,1000,6
919,290000,5,2120,7
920,250000,3,1440,7
921,342000,3,1660,7
922,255000,3,1340,7
923,800000,3,2380,9
924,451000,3,1560,7
925,990000,4,2780,7
926,288400,4,1860,7
927,420000,3,2390,8
928,359000,2,1370,8
929,390000,4,2570,7
930,300000,3,1320,7
931,545000,5,2520,7
932,288349,3,1250,6
933,299900,3,1560,7
934,891000,4,2330,7
935,1200000,3,3660,9
936,378000,4,2790,8
937,299995,2,1060,6
938,253000,3,2020,7
939,350000,3,1580,7
940,565000,4,2020,6
941,315000,2,970,6
942,570000,4,1490,7
943,971000,5,4390,9
944,915000,5,2750,9
945,419000,4,2150,7
946,260000,4,1810,7
947,1321500,3,2230,9
948,369950,3,2430,7
949,1029900,3,3680,10
950,435000,5,1410,6
951,601000,3,1330,8
952,460500,3,1490,7
953,720000,3,2020,8
954,851000,4,3130,10
955,550000,4,2670,7
956,700000,4,1980,7
957,323000,3,2100,7
958,345500,3,1350,6
959,378000,4,2140,7
960,650000,4,2208,8
961,385000,3,1010,7
962,425000,2,970,7
963,210000,4,1520,6
964,630000,4,2740,9
965,335000,3,1570,7
966,196500,3,1320,7
967,582800,4,2550,8
968,440000,3,1560,7
969,752500,4,2360,8
970,532500,3,1330,7
971,265000,3,1070,7
972,397500,3,1510,6
973,524250,3,1710,8
974,765000,4,2790,10
975,648000,4,2620,9
976,469500,5,2970,8
977,237500,3,1050,7
978,216000,3,1280,7
979,427200,3,1030,7
980,280000,3,1900,8
981,718000,5,3070,9
982,420000,2,1760,8
983,379000,2,930,7
984,326100,2,880,6
985,535000,3,1360,7
986,283000,4,2130,7
987,260000,3,1480,6
988,399000,4,1500,7
989,484950,3,1670,8
990,640000,4,2060,8
991,585000,4,2160,8
992,645000,4,2780,8
993,253000,3,1490,7
994,178500,2,740,6
995,291000,4,1860,7
996,199950,2,1590,5
997,553500,2,850,7
998,189950,2,1030,8
999,289000,3,1850,8
1000,700000,4,1830,8
1001,270000,3,1560,7
1002,258000,4,1730,7
1003,530000,3,1930,8
1004,245000,3,1422,7
1005,563000,3,1380,7
1006,515000,3,2430,8
1007,325000,4,2610,9
1008,540000,3,2000,8
1009,280300,2,920,6
1010,460000,4,1750,7
1011,475000,3,2020,7
1012,900000,4,2460,9
1013,538200,4,1780,8
1014,429000,2,1080,7
1015,164808,3,1250,7
1016,520000,4,1870,7
1017,475000,3,1700,8
1018,283000,4,1480,6
1019,321500,4,1930,8
1020,840000,4,3130,10
1021,287000,3,1370,7
1022,375000,3,960,7
1023,349500,3,1260,7
1024,446450,3,1480,7
1025,315000,4,1930,7
1026,271310,2,870,6
1027,315000,4,1300,7
1028,245000,3,1490,7
1029,543115,2,1380,8
1030,900000,4,1190,7
1031,2450000,4,4250,10
1032,554000,2,1920,8
1033,249900,3,2080,6
1034,768000,3,3220,9
1035,980000,4,3680,10
1036,395000,5,2070,7
1037,415000,3,1480,7
1038,380000,4,2000,8
1039,566000,3,1560,8
1040,218500,2,1600,7
1041,550000,4,1940,7
1042,512031,3,1540,7
1043,197500,2,820,6
1044,470000,3,1780,7
1045,590000,3,1560,7
1046,465000,4,2210,8
1047,499000,2,2040,7
1048,515000,3,1920,8
1049,716500,3,1930,9
1050,410000,3,1700,6
1051,850000,4,3450,8
1052,1050000,4,3440,10
1053,648000,4,2380,10
1054,620000,4,2400,7
1055,935000,4,5670,11
1056,379000,3,1140,7
1057,699000,3,1670,7
1058,528000,4,1910,8
1059,425000,3,1560,8
1060,249500,2,1500,7
1061,1035480,5,4475,9
1062,790000,4,2840,9
1063,399950,3,1020,7
1064,275000,3,1410,7
1065,550000,3,1520,8
1066,140000,1,730,4
1067,250000,3,1190,7
1068,318000,3,1410,7
1069,505000,2,1240,7
1070,470500,5,2500,8
1071,360000,3,1050,7
1072,1242500,4,2680,9
1073,986000,3,2380,9
1074,515000,2,1060,7
1075,320000,3,2300,8
1076,310000,4,2010,7
1077,356700,2,1090,7
1078,775000,4,2320,7
1079,325000,3,1040,6
1080,208000,4,1810,7
1081,825000,2,1150,6
1082,515000,3,2360,9
1083,490000,3,1970,8
1084,675000,4,2690,8
1085,360000,4,2080,7
1086,550000,4,2080,7
1087,225000,3,1370,7
1088,500000,3,3410,8
1089,385000,4,1850,8
1090,837700,5,3010,10
1091,448000,3,1530,7
1092,730000,5,2690,7
1093,575000,4,2810,8
1094,430000,3,1810,7
1095,435000,3,1560,7
1096,241000,3,1010,6
1097,453500,2,1000,6
1098,285000,2,990,7
1099,151000,2,720,5
1100,1570000,5,6070,11
1101,631000,5,2270,7
1102,285000,2,1380,7
1103,195000,3,1260,6
1104,817500,4,2910,9
1105,550000,3,1810,7
1106,1127000,4,3160,9
1107,609850,2,1910,9
1108,200000,3,1230,6
1109,367000,4,2960,9
1110,285167,3,2200,8
1111,275000,2,1270,7
1112,350900,4,2540,9
1113,660000,4,3030,8
1114,525000,3,1520,7
1115,262000,4,1560,7
1116,690000,2,970,7
1117,624000,5,3570,9
1118,353000,3,1350,6
1119,552500,4,3710,8
1120,224500,4,1430,7
1121,239000,3,940,6
1122,975000,5,4300,10
1123,1200000,4,3990,11
1124,505000,3,1380,7
1125,302000,4,2020,7
1126,170000,3,1480,6
1127,195000,2,1190,5
1128,272000,5,2550,7
1129,369000,5,2550,7
1130,332500,3,1500,7
1131,515000,3,3000,8
1132,269000,3,1690,7
1133,1278000,4,4390,11
1134,303000,3,1560,7
1135,420000,7,2940,8
1136,400000,3,1130,7
1137,225000,3,1020,6
1138,219000,2,1310,6
1139,605000,3,2570,9
1140,625000,4,2020,8
1141,380000,5,1680,5
1142,620000,4,1770,7
1143,687500,4,3190,10
1144,225500,4,1440,6
1145,252500,3,1150,7
1146,510000,3,1860,8
1147,510000,4,2430,8
1148,725000,3,1940,7
1149,75000,1,670,3
